item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q105071475,Joel Biggie Matiza,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q105071475-B99BBA7C-0C1E-4216-88C2-586678D25D97
Q1379403,Simba Makoni,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q1379403-A31E7270-47FB-4751-8AE0-ACD462516174
Q1399766,Joseph Msika,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q1399766-E30A083E-71AF-435D-951D-EBE58A731202
Q14922135,Moven Mahachi,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q14922135-3B0EA21F-2C95-4596-B916-BF78B6EFF580
Q15992851,Edward Chindori-Chininga,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q15992851-461691CF-74FA-496A-855E-869303C79057
Q16016626,Josiah Tungamirai,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q16016626-3D948102-6475-4D19-8D08-6720933894A5
Q16151660,Ignatius Chombo,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q16151660-087B9AD2-596E-4BC2-AFD5-85AC386CD0A1
Q19144163,David Karimanzira,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q19144163-5DFC78E5-BBF2-45B6-840A-8BF182415667
Q2112402,Stan Mudenge,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q2112402-ECBF0D1C-7632-451E-B4AC-C607A0AB4033
Q2209549,Sabina Mugabe,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,female,Q2209549-6E72F6AE-0504-46E9-98D1-CB55DB9C0217
Q2287723,Simon Muzenda,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q2287723-EFE4F708-A44A-4DF3-86EA-4576D62A3403
Q27380169,Cephas Msipa,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q27380169-14BACEF8-F642-4EED-8729-A1FEF1689620
Q3062672,Roy Bennett,Q2582118,,,,2000-07-18,2005-03-30,male,Q3062672-EB57FE59-DD2C-4E7B-8FCA-8B6099AA3E6D
Q3081621,Francis Nhema,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q3081621-7CE9CE99-4709-4D72-B8E9-3296AAE9415B
Q3133488,Herbert Murerwa,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q3133488-FB23A327-C581-4B14-A39B-4DF86FE4E7EB
Q3183430,Jonathan Moyo,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q3183430-CEE45FAF-4372-4FAD-BF7B-CCE4E9C1B7D9
Q32534048,Christopher Kuruneri,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q32534048-5647E98E-963D-44F8-A30B-AC505D52D8AA
Q3264301,Lovemore Moyo,Q2582118,,,,2000-07-18,2005-03-30,male,Q3264301-AF6A99D6-E540-4E17-BBCA-DE257FAB773B
Q3274147,John Nkomo,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q3274147-2C704E05-15B3-4737-9FFD-108B259B087D
Q3369338,Patrick Chinamasa,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q3369338-3C83F6E6-B5F1-498B-8C11-613B74A57C23
Q4687771,Aeneas Chigwedere,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q4687771-82F409BF-1A07-46C1-B16B-0ACEB2C44E10
Q4926322,Blessing Chebundo,Q2582118,,,,2000-07-18,2005-03-30,male,Q4926322-2C1FC729-7D94-4530-B00F-A0123D2EEE6F
Q4944569,Border Gezi,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q4944569-9E338583-338C-4796-BB6B-168B015E405A
Q5091407,Chenjerai Hunzvi,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q5091407-32E4EA12-7875-41D1-9793-F7285CDB5970
Q5232494,David Coltart,Q2582118,,,,2000-07-18,2005-03-30,male,Q5232494-08CA4014-3670-40A0-B25B-FA82C37655EC
Q5238373,David Parirenyatwa,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q5238373-6F143F51-466F-427B-9862-EF69C73C4AFE
Q5274292,Didymus Mutasa,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q5274292-B4822CEC-EC53-4A14-8B35-958F804C9156
Q5340066,Edna Madzongwe,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,female,Q5340066-544AA925-03CA-4308-B37C-04E36DD2DD04
Q5340334,Eddison Zvobgo,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q5340334-1125786D-756E-49D9-A182-7413516A2796
Q5416378,Evelyn Masaiti,Q2582118,,,,2000-07-18,2005-03-30,female,Q5416378-CC4331CC-4156-40F6-83B6-D3B7B4C04672
Q5446764,Fidelis Mhashu,Q2582118,,,,2000-07-18,2005-03-30,male,Q5446764-D9E2FEB3-0C0E-4AEC-A991-C5844EBAD66A
Q5458776,Fletcher Dulini,Q2582118,,,,2000-07-18,2005-03-30,male,Q5458776-CC333927-EE73-457A-907D-F593AF345066
Q5559396,Gibson Sibanda,Q2582118,,,,2000-07-18,2005-03-30,male,Q5559396-0A94E3EE-7883-478C-8B30-A2A7CBE83CF0
Q5561692,Giles Mutsekwa,Q2582118,,,,2000-07-18,2005-03-30,male,Q5561692-5AF30D54-C66C-4418-8DAB-4F269194DEDD
Q6019041,Paul Themba Nyathi,Q2582118,,,,2000-07-18,2005-03-30,male,Q6019041-855BEB60-C5BA-4405-9C01-E89BBEFDFFA5
Q6213465,Joel Gabuza,Q2582118,,,,2000-07-18,2005-03-30,male,Q6213465-A0F1D44E-7668-49FA-B2ED-70751D392CEB
Q6285211,Joseph Made,Q1910161,ZANU–PF,,,2000-07-18,2005-03-30,male,Q6285211-F9AA9828-384E-4BCE-92F7-5678B54FD24C
