@@,item,name,party,partylabel
+++,,Abraham Sithole,Q1910161,ZANU-PF
+++,,Albert Mhlanga,Q1146616,MDC-T
+++,,Alexio Musundire,Q1146616,MDC-T
+++,,Alice Mwaemura Chitima,Q1910161,ZANU-PF
+++,,Alice Mwaemura Chitima,Q1910161,ZANU-PF
+++,,Alois Baolyi,Q1910161,ZANU-PF
+++,,Amos Chibaya,Q1146616,MDC-T
+++,,Anadi Sisulu,Q1146616,MDC-T
+++,,Anastancia Ndhlovu,Q1910161,ZANU-PF
+++,Q4757697,Andrew Langa,Q1910161,ZANU-PF
+++,Q432934,Arthur Mutambara,Q15980776,MDC-M
+++,Q4926322,Blessing Chebundo,Q1146616,MDC-T
+++,,Buka Flora,Q1910161,ZANU-PF
+++,,Busy Ngwenya,Q1910161,ZANU-PF
+++,,Cephas Sindi,Q1910161,ZANU-PF
+++,,Chapfiwa Prosper Mutseyami,Q1146616,MDC-T
+++,,Charles Pemhenai,Q1910161,ZANU-PF
+++,,Chenayimoyo Nhema,Q1910161,ZANU-PF
+++,,Clemency Sibanda,Q1146616,MDC-T
+++,Q5147035,Collen Gwiyo,Q1146616,MDC-T
+++,,Cornelius Dube,Q1146616,MDC-T
+++,,Costain Muguti,Q1146616,MDC-T
+++,,David Chimhini,Q1146616,MDC-T
+++,Q5274292,Didymus Mutasa,Q1910161,ZANU-PF
+++,,Dorcas Sibanda,Q1146616,MDC-T
+++,,Dorothy Mangami,Q1910161,ZANU-PF
+++,,Douglas Mwonzora,Q1146616,MDC-T
+++,Q5335953,Eddie Cross,Q1146616,MDC-T
+++,,Edmore Maramwidze,Q1146616,MDC-T
+++,,Edmore Marima,Q1146616,MDC-T
+++,,Elias Jembere,Q1146616,MDC-T
+++,,Ellina Shirichena,Q1910161,ZANU-PF
+++,Q5367269,Elphas Mukonoweshuro,Q1146616,MDC-T
+++,Q5367868,Elton Mangoma,Q1146616,MDC-T
+++,Q510523,Emmerson Mnangagwa,Q1910161,ZANU-PF
+++,Q5387062,Eric Matinenga,Q1146616,MDC-T
+++,,Ernest Mudavanhu,Q1146616,MDC-T
+++,Q5416378,Evelyn Masaiti,Q1146616,MDC-T
+++,,Felix Sibanda,Q1146616,MDC-T
+++,,Festus Dongo,Q1146616,MDC-T
+++,Q5446764,Fidelis Mhashu,Q1146616,MDC-T
+++,,Fred Kanzama,Q1910161,ZANU-PF
+++,,Funny Munengani,Q1146616,MDC-T
+++,,Gift Chimanikire,Q1146616,MDC-T
+++,,Gift Dzirutwe,Q1146616,MDC-T
+++,,Giles Tariyafero Mutsekwa,Q1146616,MDC-T
+++,,Harrison Mudzuri,Q1146616,MDC-T
+++,Q5720588,Henry Dzinotyiweyi,Q1146616,MDC-T
+++,,Heya Shoko,Q1146616,MDC-T
+++,Q5927511,Hubert Nyanhongo,Q1910161,ZANU-PF
+++,,Innocent Tinashe Gonese,Q1146616,MDC-T
+++,,Irvine Dzingirai,Q1910161,ZANU-PF
+++,,Jabulani Mangena,Q1910161,ZANU-PF
+++,Q6146138,Jameson Timba,Q1146616,MDC-T
+++,,Jani Marandeni,Q1146616,MDC-T
+++,,Jefferson Chitando,Q1146616,MDC-T
+++,Q6187759,Jessie Majome,Q1146616,MDC-T
+++,,John Nyamande,Q1146616,MDC-T
+++,Q3183430,Jonathan Moyo,,
+++,Q6276249,Joram Gumbo,Q1910161,ZANU-PF
+++,,Josephat Madubeko,Q1910161,ZANU-PF
->,Q6386891,Kembo Mohadi,NULL->Q1910161,NULL->ZANU-PF
+++,,Kizito Chivamba,Q1910161,ZANU-PF
+++,,Kudakwashe Bhasikiti,Q1910161,ZANU-PF
+++,,Lawrence Mavima,Q1910161,ZANU-PF
+++,Q3264301,Lovemore Moyo,Q1146616,MDC-T
+++,,Lovemore Mupukuta,Q1910161,ZANU-PF
+++,,Lucia Matibenga,Q1146616,MDC-T
+++,,Lynette Karenyi,Q1146616,MDC-T
+++,,Makhosini Hlongwane,Q1910161,ZANU-PF
+++,,Maposhere,Q1910161,ZANU-PF
+++,,Margaret Matienga,Q1146616,MDC-T
+++,,Marvellous Khumalo,Q1146616,MDC-T
+++,,Mathias Matewu Mlambo,Q1146616,MDC-T
+++,,Meki Makuyana,Q1146616,MDC-T
+++,Q6875513,Misheck Kagurabadza,Q1146616,MDC-T
+++,,Misheck Shoko,Q1146616,MDC-T
+++,,Mkhosi Edward Tshotsho Moyo,Q15980776,MDC-M
+++,Q57762,Morgan Tsvangirai,Q1146616,MDC-T
+++,,Moses Mare,Q1146616,MDC-T
+++,Q6915903,Moses Ndlovu,Q15980776,MDC-M
+++,Q6938737,Murisi Zwizwai,Q1146616,MDC-T
+++,,Muza Sheunesu,Q1910161,ZANU-PF
+++,,Naison Nemadziva,Q1146616,MDC-T
+++,Q16207702,Nelson Chamisa,Q1146616,MDC-T
+++,,Noel Mandevu,Q1910161,ZANU-PF
+++,Q7048451,Nomalanga Khumalo,Q15980776,MDC-M
+++,,Norman Mpofu,Q15980776,MDC-M
+++,,Obert Matshalaga,Q1910161,ZANU-PF
+++,,Oliver Chirume,Q1146616,MDC-T
---,Q43402860,Patrick Zhuwao,,
+++,,Paul Madzore,Q1146616,MDC-T
+++,Q7152179,Paul Mangwana,Q1910161,ZANU-PF
+++,Q7155466,Paurina Mpariwa,Q1146616,MDC-T
+++,,Pearson Mungofa,Q1146616,MDC-T
+++,,Phares Hakuna Maramba,Q1910161,ZANU-PF
+++,,Pilot Masukume,Q1910161,ZANU-PF
+++,,Piniel Denga,Q1146616,MDC-T
+++,,Pishai Muchauraya,Q1146616,MDC-T
+++,,Ramson Makamure,Q1146616,MDC-T
+++,,Reggie Moyo,Q1146616,MDC-T
+++,,Rodger Tazviona,Q1146616,MDC-T
+++,,Rodrick Rutsvara,Q1146616,MDC-T
